10161	0	334601	3002029	NR	michaelpoet	3/14/09 7:40 AM	1.2370164E12	Magic Jack telepnone	Has anyone ever tryed Magic Jack telephone on a pc?? Does it work and how well????? michael
10161	18	334601	3007972	3002029	DSHornet	3/21/09 3:58 PM	1.23765108E12	Magic Jack great for the price	... but you get what you pay for. Sound quality isn't great but voices are perfectly understandable. I connected mine and it immediately trashed my sound drivers. I uninstalled and reinstalled the drivers with the Magic Jack dongle connected to my PC and haven't had a problem since. aside from that hassle, no complaints here.
10161	19	334601	3008104	3002029	willi stuka	3/21/09 7:18 PM	1.23766308E12	Magic Jack Voip Telephone	Have had a magic jack since it first appeared on the market,have bought some for friends as gifts.What could be better than a 20 dollar a year phone bill,for those spending hundreds and more on other services.A good internet connection is essential,the service has improved steadily since it started.You have a choice of using a phone,many different types,and as another user said,some phones work better than others, or you can use a headset and mike setup if you prefer.Really simple to set up and many features come with it.Perhaps some people are put off when they see the name &quot;Magic Jack&quot;, but this little device does provide some technical magic,mine works great and you have a 30 day period to return it if you don't like the way it performs.
10161	20	334601	3008173	3002029	mrdeanpilcher	3/21/09 9:50 PM	1.2376722E12	magic jack	The best $40 I ever spent. Tomorrow I am calling att and discontinuing my land line. I have made over 80 hours of long distance calls to my brothers in TX in the first month I've had it. I have also reconnected to many friends and family members now that I can call & talk for 'free'. The sound quality is quite good, there is no difference in performance when compared to land lines. What with my wife and I both having cell phones, even if 'Roadrunner' goes down we still have phone access. That is the only drawback to it. The computer has to be on for the phone to work. I am in the process of rehabing an old computer with a 1 gig hard drive to dedicate to my Magic Jack, and network it, so I can shut down my main computer.
10161	21	334601	3008189	3002029	tracileeskime	3/21/09 9:56 PM	1.23767256E12	majic jack	Yes, I just ordered one and the instillation was easy and we use it for all our long distance, we have even caller id and voice mail too
10161	22	334601	3008213	3002029	chris2	3/21/09 11:02 PM	1.23767652E12	magic jack	have mine for almost a year has paid for it self many times over at first i could not get it to work but then found out it was the phone i was using switched phones have had no problems except sometimes a hum but thats because i'm using a cheap phone and the closer i am to computer it goes away love it
10161	23	334601	3008480	3002029	jerrbaugh	3/22/09 9:45 AM	1.2377151E12	magicjack	yes magic jack works great been using it for over a year now .we are full time rver's and when we dont have a cell phone signal and have a wifi signal we use magicjack .and we use it 6 months parked for the winter in az.
10161	24	334601	3014153	3008480	mjlike	3/30/09 7:17 AM	1.23839742E12	Magicjack caller ID	I love Magicjack. Now I love it even more that I got the caller id to work on my phone by getting a fixer from www.magicjackcallerid.com
10161	25	334601	3015811	3002029	dondgc46	4/1/09 10:18 AM	1.23858108E12	Magic Jack	MagicJack works. The only problem is phone. I purchased Panasonic 5.8ghz (noise reduction).
10161	26	334601	3217583	3002029	GitterDunn	1/9/10 7:12 AM	1.26302112E12	Magic Jack	I have used the MagicJack for a year & just renewed it for 5 years. It's performance depends a lot on the quality of your ISP. You MUST HAVE DSL or another kind of high speed connection. You MUST leave your computer on to receive calls. When your computer automatically updates & reboots itself, you may get an error msg saying &quot;broken storage&quot;. This will require you to reformat the drive that MJ is on. When you do this, you lose your stored contact list. Other than these glitches, it works very well & has saved me lots of money.
10161	27	334601	3218621	3007450	goldilocks20	1/10/10 10:18 AM	1.26311868E12	magic jack	I got one a month ago. It actually does wonders for me, whos used to cards for calling overseas. Although, its pretty sensitive to the internet connection. Often times, the audio quality is poor. It is definitely a money saver. I can call anytime, and it is very efficient.
10161	28	334601	5117554	3002029	MrLucky718	4/15/11 9:08 AM	1.30285848E12	Magic Jack Phone Service	Works great for me. I have used it going on 2 years. You must have a good broadband service if your picky about sound quality. I no longer have a land line. You must set up UDP ports 5060 an 5070 on your firewall for good flow thru or the sound will be choppy. I like it that my phone number is no longer listed, cuts down on sales calls. Forwards all voice mails to your email inbox. I use multiple (5) Uniden dect 6 phone system with mine and it works great. It has caller ID and you can forward your calls to your cell phone or any phone you want to. Free conference calling! Call any where in the US or Canada!
