10033	0	62465	740687	NR	jimdent	2/4/05 12:48 PM	1.10752128E12	how convert old super mm cd dvd	old years super movies family love cd dvd anyone equipment need order accomplish thanks jim
10033	11	62465	1053753	1053315	pswiderski	3/18/05 11:52 AM	1.11114672E12	home made conversion	thanks wait try
10033	12	62465	1138150	1053315	lynjjj	4/19/05 4:43 PM	1.11392898E12	reduce flicker	give hints reducing flicker reshooting digital camera cardboard works wellthanks
10033	13	62465	1138630	1138150	John Robie	4/19/05 8:22 PM	1.11394212E12	re flicker	thanks lynjjj never digital camcorder sorry aware flicker using years back kinda recall having minor flicker problem occasion adjusted adjustable speed projectordont remember three projectors mm super mm mm
10033	14	62465	1139785	1138630	pswiderski	4/20/05 8:39 AM	1.11398634E12	re flicker	flickering nature old projector film smooth pretty adjusting speed projector part character transferred old movies doctored imovie idvd finalize turned great next going transfer those old slides wish luck
10033	15	62465	1140728	995363	D Geo	4/20/05 2:59 PM	1.11400914E12	copy film	neighbor using white poster board screen movie projector vidio camers low cost worked great dvd recorders under preform quit
10033	16	62465	1142086	1139785	lynjjj	4/21/05 8:00 AM	1.1140704E12	flicker	thought hopingi wih manage colour tone redone movies
10033	17	62465	1142321	1142086	pswiderski	4/21/05 9:42 AM	1.11407652E12	color	didnt really mess color wish ones transferred lost quite bit color considering transferring find projector ill play color recorded mm video camera transfered video powerbook through analog digital converter how color loosing due method equipment nice somewhat preserving images
10033	18	62465	1161593	1138150	johndk	4/29/05 3:15 PM	1.1147877E12	how reduce flicker	flicker caused frequency camera being sinc screen image filming watch tv show computer screen comes shot same thing technology overcome video camera called clear scan measurements hz canon xlis different frequencies choose set camera cs clear scan mode start old movie going screen look through viewfinder adjust frequency until flicker stops unfortunately smaller video cameras feature regards john keeble
10033	19	62465	1423062	740687	kevin david	9/15/05 5:34 PM	1.12680564E12	couple options	definitely need transfer either vcd dvd anything need preserve familys history generations come actually couple options available regarding question cost small investment worth investment end purchase equipment supplies convert own basic computervideo editing skills off need purchase mmsuper film projector preferably duel projector capable projecting formats obtained through ebay anywhere between need purchase film video converter runs anywhere between obtained through ebay finally need purchase digital video converter pc fairly good compatible pc before purchasing though option go through film transferring service cost depends how film converted typically average between options technically same costs however depends whether invest time transferring own specialize transferring mm super film vcd dvd give fair estimate films cost transfer either vcd dvd email how many reels along diameters each kovitchfamilyarchivesinfo check website additional information wwwfamilyarchivesinfo good luck ever decide
10033	20	62465	1821909	1138150	nikki904	3/21/06 4:27 PM	1.14295842E12	eliminate flicker	solution running film near frames per second fps reduceeliminate flicker most cases caveats ntsc system video camera needed bladed shutter projector needed steady shot image stabilisation need turned off video camera special shooting modes scene modes portrait landscape fireworks etc need turned off possible set video cameras frame rate frames per second many default good lighting conditions issue scene modes image stabilization change video cameras frame rate cause flickering technical explanation flickering ntsc video frames per second essentially those frames actually made fields interlaced every scan line single frame basically frames per second our purposes film projector most likely bladed shutter inside purpose facilitate perception moving image instead seeing streaked image film pulled through gate saw film while moving instead youd streaks blurred image shutter projector basically blocks light while film moving wont blurred image allows light through while film stationary th th second case look closely film gate projector might notice pin sticks through slot side where sprocket holes film pin pops top hole go through hole film drags film down frame goes back hole return top repeat process mechanismprocess gives projector tick tick tick sound arm pin constantly smacking things put limit range movement okay running film frames per second fps using bladed shutter flashes light every second effective fps projector effective fps video camera match causes flicker car turn signal car front their turn signal yes people use those lights different cars blinking same rate digress change films running speed fps bladed shutter flashes light per second projector matching effective frame rates between projector video camera flicker film supposed run fps transfer yourself youd find projector bladed shutter thats multiple works eliminate flicker video transfer using ntsc equipment who wanted take task making own shutter projector bladed shutter yield fps blades fps blades fps youd need bladed shutter wanted fps flickerfree video transfers clearly easier try bladed projector fps capture digital format use editing software change frame rate film thats percentage youd reduce speed video file fps footage fps speed increase bothers enough muck responsible anything result reading rambling reccomend making own projector shutter seriously transfering film using camera shoots beyond scope experience however follow math involved probably figure something actually round numbers ntsc video system united states places case different countries use different systems shocking true
10033	21	62465	2355802	1423062	ranboii	12/24/06 12:22 PM	1.16696292E12	transverring super dvd	several posts suggested transferring vhs dvd bad idea resolution vhs pretty bad analog step process quality degrade further youre going use cardboard route use minidv digital camcorder capture tape last time footage ever live outside digital world tried those reflective boxes found light brighter middle edges worked best use white piece card stock feet away projector slide camcorder close could projector angle wouldnt picture too nonrectangular zoomed none black edge showed never notice slight nonrectangular shape image earlier post described framepersecond video vs framepersecond fps movie film running projector frames means tend full frame movie frame video halfframes next frame video step frame time through captured video effect projector isnt running frames per second video gets light while gets point where capturing inbetween stuff frames behavior cylces back forth flicker how projector running fps point video camera cardstock eg pause start movie projector adjust variablespeed knob projector until flicker least heres process buy minidv camcorder tapes buy variablespeed projector off ebay put piece cardstock wall dark room point projector cardstock without angling image rectangular set minidv camcorder such lens same height projectors lens use tripod stack magazines height right move camcorder close projector possible set small tv pointing away cardstock where check focus etc without having use tiny screen camcorder might right against projector anyway set exposure focus manual camcorder temporarily put printed text against wall adjust camcorders focus until sharp possible way focused wall camcorder wont try desperately adjust focus later run movie through foot reel good idea time adjust everything while running turn camcorder set record probably pause watch seeing tv adjust variablespeed knob projector until flickering minimized flicker means whole picture gets lighter darker anywhere few times second every few seconds adjust manual contrast camcorder most pleasing amount detail too bright things wash too dark youll lose details shadows note camcorder doesnt typically dynamic range film good balance go back top start over project moved further back screen further back less light brightest parts contrast less too far back though contrast boring doublecheck everything youre ready record record whole reel once worry editing youre going later once youve captured movies onto minidv tape transfer mac import imovie edit terrible parts export back minidv tape archival quality backup dvd looks fine uses compression reedit footage later without losing quality dvd use idvd burn dvd
10033	22	62465	2396171	995484	trendc01	2/6/07 7:51 AM	1.17074826E12	sound problem converting super vhs digital	attempting convert super film rca cc vhs video camera jvc hard drive camcorder converter box try convert either method noise super projector comes thru onto either vhs digital camera how turn off sound rca cc small wonder video camera jvc gzmg hard drive camcorder tipssuggestions greatly appreciated using jvc camcorder how record directly our vhs recorder
10033	23	62465	2426585	994207	mully1	3/10/07 4:18 PM	1.17354348E12	greetings mm cd	provide service could recommend thanks
10033	24	62465	2493598	2355802	janycejones	5/22/07 7:14 PM	1.17986124E12	super dvd	recently films transferred dvd infinity sydney results were amazing prior getting transfer films sent test reel couple operators victoria who claimed scan frame frame comparison results dvd infinity were clearer crisper colour reds were redder greens greener etc detail prior deciding send someone tried projector camera method happy results feel wasted great deal time doing recommend anyone wanting done properly dvd infinity transfer footage digital
10033	25	62465	2532498	740687	LouiseBentin	7/5/07 5:31 PM	1.18365666E12	simple solution	might look lens squidoo explains process easy understand steps anyone follow sample video results subwebaddr
10033	26	62465	2533205	2532498	Coryphaeus	7/6/07 4:01 PM	1.18373766E12	nt notice date original post	NIL
10033	27	62465	2533222	2533205	LouiseBentin	7/6/07 4:59 PM	1.18374114E12	outdated	yes notice date however rates highly google under search converting super dvd could help someone else looking same info check older forums time info maybe others too
10033	28	62465	2533268	2533222	Coryphaeus	7/6/07 7:22 PM	1.18374972E12	problem complaining	sometimes replies posts old didnt noticed
10033	29	62465	2596112	740687	whiteshoe	9/30/07 2:55 PM	1.1911641E12	reducing flicker super mm film capture camcorder	varible speed projectors rare expensive instead trying adjust film projection speed adjust camcorder shutter speed often disguised under name sony handycam program ae controls shutter speed assume features camera spotlight setting offered almost flicker best brightness contrast projected image projector camera close together inches screen screen made smooth bright white surface works glossy surface reflect prjector lamps hot spot filament back camera almost translucent film product screen originally tested home made transfer box picture quality transfer box cameras automatic exposure setting manual focus focused camera string temporarily suspended top screen results were good using home tranfer technique video camera imported via firewire pc using studio plus ultimate where added background music menu good luck whiteshoe
10033	30	62465	2627068	994207	charliegirl42	11/10/07 10:31 PM	1.19473386E12	re mm dvd	tried contacting email got bounce back contact please converting mm dvd thanks charliegirl yahoocom
10033	31	62465	2638317	2533222	JBails	11/25/07 10:03 AM	1.19598498E12	super screens computer software	coming exchange ideassolutions late game gearing transfer movies super digital computer found previous postings helpful noted comments using white stock cardboard mentioned using movie screen use show movies assume work thoughts deluxe video transfer system made plastic company called ambico once copy prints digital worked fine try super hope works use either movie screen white board once image digital tape should able import pc special software should use import digital movie sony desktop dell laptop best software editing digital movies including putting music either those computers possible put movies prints same dvd
10033	32	62465	2642768	2533268	themick25	12/1/07 4:51 AM	1.19648466E12	too light	transferring super movies dvd few problems problem flickering figured adjusting shutter speed camcorder problem copying movie screen seems too light coming camcorder making difficult faces tried adjusting white balance several ways doesnt seem work tried copying movie screen white sheet piece white oaktag same problem anyone give advice how rectify problem
10033	33	62465	2651181	2596112	JANEENAJ	12/10/07 6:24 PM	1.19731104E12	flicker free avi files editing	problem ended trying few places before eventually finding company called dvd infinity lta href subwebaddr gt wwwdvdinfinitycomau ltagt certainly provide high quality transfer flicker frames crisp footage output minidv edited ourselves onto productions look shot digital video
10033	34	62465	2653533	2651181	JANEENAJ	12/13/07 4:45 PM	1.1975643E12	super dvd	link should subwebaddr
10033	35	62465	2658505	994207	ww32422002	12/20/07 3:12 AM	1.19812032E12	conversion sper mm film dvd	hi rolls super mm film convert dvd quote price thanks walter ortega yahoocom
10033	36	62465	2658511	2658505	Kees Bakker	12/20/07 3:18 AM	1.19812068E12	should able find lot	local photographers shops course themselves serve intermediary ask around kees
10033	37	62465	2663219	994207	buuddy	12/26/07 11:08 PM	1.19871048E12	convert	super convert samples compare super developed services develope undeveloped ones years old developed ones excellent shape reels casettes stephen tompkins
10033	38	62465	2676880	740687	roersm39	1/11/08 5:26 PM	1.20007236E12	convert old super mm dvd	hi how convert old years super mm dvd many thanks
10033	39	62465	2947605	740687	pjfull	1/9/09 10:56 AM	1.23149856E12	mm film	large bag mm film never labled whould view lable projector film years old please tell equipment need view thanks pjfull
10033	40	62465	2947665	2947605	R. Proffitt	1/9/09 12:29 PM	1.23150414E12	sound too obvious	view mm film hunt down mm film projector
10033	41	62465	3098392	2532498	soup515	8/8/09 8:40 PM	1.249764E12	transferring without cardstock	question super mm camera redwhiteyellow wires yellow film question silent plug directly converter case digital camcorder converts analog signals tried idea shooting wall cardstock thinking direct transfer sharper thoughts
10033	42	62465	3099151	3098392	soup515	8/10/09 6:36 AM	1.24988616E12	superreg silent projector analog output connection	super mm camera redwhiteyellow wires yellow film question silent plug directly converter case digital camcorder converts analog signals tried idea shooting wall cardstock thinking direct transfer sharper thoughts
10033	43	62465	3110961	2596112	georgen	8/24/09 5:33 PM	1.25113518E12	flicker super mm film capture camcorder	thank whiteshoe sony pc camcorder upon advise changed setting beach ski mode indeed significantly reduced brightness pulsating flicker acceptable level although colors vivid mode posts date using term flicker same fashion case brightness problem changing mode fixed using bolex super projector without speed control regards
