163	0	12105	137974	NR	cfagan	2/16/04 11:06 AM	1.07692956E12	how print screen pc mac keyboard	pc mac keyboard print screen button pc wont screen grab way around
163	22	12105	2501584	2501436	mrmacfixit	5/31/07 11:45 AM	1.1806119E12	nt take didnt suggestions	NIL
163	23	12105	2502173	2501584	HonouredMatre	6/1/07 6:26 AM	1.18067916E12	print screen using mac keyboard	didnt read key etc come familiar use relevant key combination using macs os technically savvy confident enough mess code neither time nor patience roadtest every google link tip offered masterofnone seemed perfectly reasonable until tried unless missed something didnt suggestions hm
163	24	12105	2512506	1230876	JasonWDC	6/12/07 12:11 PM	1.18165026E12	thanks kevin	those instructions worked perfectly macbook pro key instructions were helpful
163	25	12105	2521679	2501436	impala	6/22/07 10:34 PM	1.18255164E12	works	active window capture works use ltaltgt key osk click ltpscgt screen keyboard doesnt overlap window trying capture
163	26	12105	2521845	2521679	HonouredMatre	6/23/07 4:32 AM	1.18257312E12	too	thank reply already worked moving osk ensure didnt captured didnt realise trying active window capture deselct ltaltgt key clicking ltpscgt key please take note people never assumptions giving instructions include every single step idiotproof info absolutely essential braindead prats thanks hm
163	27	12105	2557443	137974	Tito Caicedo	8/6/07 3:21 PM	1.18641366E12	thanks got	stumbled forum asking same question point relative question mac forum remember intel macs run windows someone posted should key tried didnt work tried key voila curious thing right where print screen should
163	28	12105	2564715	2495886	rbedi	8/17/07 5:36 AM	1.18732896E12	NIL	maybe shaped apple lower left hand corner keyboard around where ctrl windows alt keys pc hope helps rbedi
163	29	12105	2576497	1230876	groovygrl	9/3/07 4:46 PM	1.18883796E12	why use mac keyboard ibm compatible	answer simple small mac keyboard great size exactly why ditching keyboard buying need extra keys simplicity however purchase print screen option available thanks providing answer
163	30	12105	2591322	137974	clmroch	9/24/07 11:12 AM	1.19063232E12	print screen pc mac keyboard	same problem easy fix use windows onscreen keyboard found start gt programs gt accessories gt accessibility gt onscreen keyboard click psc button next key tada
163	31	12105	2591969	2591322	zeffii	9/25/07 12:12 PM	1.19072232E12	works charm	subwebaddr finally solution came searching something else program lets set mac keyboard halflearn mode press say select dropdown remap printscreen instead bye bye osk
