4977	0	37826	443403	NR	halvaro	9/22/04 4:05 PM	1.0958691E12	WD40??????????	Hi I would like to know what is WD40 , sorry I am from Mexico maybe it is aproduct i don't know.
4977	16	37826	457588	457544	lconner	10/1/04 3:34 AM	1.09660164E12	Re: WD40??????????	The inventor of WD 40 shortened Water Displacement 40 to WD 40
4977	17	37826	457608	443430	RonnieR	10/1/04 3:51 AM	1.09660266E12	Re: It's a light oil/lubricant. Ususally in a spray can.	And its good for relieving the pain of arthritis.
4977	18	37826	457661	443403	dustin_tt	10/1/04 4:30 AM	1.096605E12	Re: WD40??????????	I know of a product called WD40 which stands for Water Displacement - 40th attempt. As its name states, it removes water from metal parts to prevent corrosion or loosen corroded parts. Hope this answer helps.
4977	19	37826	457667	457588	bryan allen	10/1/04 4:33 AM	1.09660518E12	Re: WD40??????????	wd 40 was shown on a english tv programe called tomorrows world where it was sprayed on to a electric drill and then emersed in water switched on and running it was then taken out with bear hands and used (DONT TRY THIS AT HOME) bryan allen
4977	20	37826	457736	457661	Themisive	10/1/04 4:57 AM	1.09660662E12	Re: WD40??????????	As far as I am aware, WD40 was invented in britain during the Second World War (in 1940), by the War Department for use with any mechanical lubrication. Thus the name stands for War Department 40 (of 1940), the application made into an aerosol came later - about 1950.
4977	21	37826	457837	443403	Keith_C_A	10/1/04 5:33 AM	1.09660878E12	Re: WD40??????????	I wouldn't call WD-40 a wonder drug. While it is a wonder product, it is certainly not call it a drug. WD-40 has been around since 1953 it is a Spray Lubricant/Penetrating Lubricant/Water Dispersant for mechanical parts it can be used to loosen rusted bolts and nuts. It can be used in some electronic components like Volume controls when they make noise while adjusting volume. There are other brand products like CRC-556 that do the same job, I hope this was helpful, visit www.wd40.com to find out more. Keith
4977	22	37826	457848	443686	Keith_C_A	10/1/04 5:36 AM	1.09660896E12	Re: Trivia. . .	WD stands for &quot;Water Dispersant&quot;
4977	23	37826	457856	443403	Racko	10/1/04 5:37 AM	1.09660902E12	Re: WD40??????????	I haven't seen a connection to &quot;PC Hardware&quot; in the thread, so here is one. Back in the ancient days of dot matrix printers, the ink ribbon could be rejuvenated by spraying with WD-40. The ribbon would last at least 3 times as long.
4977	24	37826	457861	443686	Keith_C_A	10/1/04 5:38 AM	1.09660908E12	Re: Trivia. . .	WD Stands for Water Dispersant/Water Displacement
4977	25	37826	457910	443403	mkcsystems	10/1/04 5:55 AM	1.0966101E12	Re: WD40??????????	If you like WD40 then you should try PB Blaster. PB Blaster takes rust busting to a new level. I have not found any stuck/rusty part that this can't break loose, whereas WD40 does not penetrate rusted/stuck parts as well. I used to use WD 40 for years but now I only use PB Blaster. Mark
4977	26	37826	457973	443403	tbneff	10/1/04 6:20 AM	1.0966116E12	Re: WD40??????????	OK, we've heard how WD40 relates to PC's, but how about around the home and garden? This one was given to me by my son-in-law. I had a problem with a bee's nest and was out of the 'Wasp and Hornet' spray (you know, the kind of stuff that kills them instantly from 20' away). My son-in-law told me that WD40 did the same job. So I tried it on a wasp nest. Wow! they curled up instantly. I guess it displaces the moisture in their bodies so fast they don't know what hit 'em. Way to go WD40!
4977	27	37826	458017	457856	billzhills	10/1/04 6:31 AM	1.09661226E12	Re: WD40??????????	Racko I heard tell it was to lube the print heads. Bill .
4977	28	37826	458037	443403	geo9952	10/1/04 6:36 AM	1.09661256E12	Re: WD40??????????	hi halvaro, wd-40 is a spray on lubricant, contained in an aerosol can,I believe it also has non conductive properties, so is safe to use on low voltage equipment, you probably have the equivalent product in mexico. hope this helps. asta la vista mi amigo.
4977	29	37826	458048	457736	jstropp	10/1/04 6:44 AM	1.09661304E12	Re: WD40??????????	Britain?? San Diego is not in Britain! Maybe it was the Russians. Back then they claimed to have invented everything. Or possibly it was Al Gore, the well known inventor of the internet.
4977	30	37826	458247	443403	jimw501	10/1/04 7:44 AM	1.09661664E12	Re: WD40??????????	Courtesy the WD-40 website: In 1953, a fledgling company called Rocket Chemical Company and its staff of three set out to create a line of rust-prevention solvents and degreasers for use in the aerospace industry, in a small lab in San Diego, California. It took them 40 attempts to get the water displacing formula worked out. But they must have been really good, because the original secret formula for WD-40which stands for Water Displacement perfected on the 40th tryis still in use today. Convair, an aerospace contractor, first used WD-40 to protect the outer skin of the Atlas Missile from rust and corrosion. The product actually worked so well that several employees snuck some WD-40 cans out of the plant to use at home. A few years following WD-40's first industrial use, Rocket Chemical Company founder Norm Larsen experimented with putting WD-40 into aerosol cans, reasoning that consumers might find a use for the product at home as some of the employees had. The product made its first appearance on store shelves in San Diego in 1958. In 1960 the company nearly doubled in size, growing to seven people, who sold an average of 45 cases per day from the trunk of their cars to hardware and sporting goods stores in the San Diego area. In 1961 the first full truckload order for WD-40 was filled when employees came in on a Saturday to produce additional concentrate to meet the disaster needs of the victims of hurricane Carla along the U.S. Gulf coast. WD-40 was used to recondition flood and rain damaged vehicles and equipment. In 1969 the company was renamed after its only product, WD-40. WD-40 Company, Inc., went public in 1973 and was listed Over-The-Counter. The stock price increased by 61% on the first day of listing. Since that time, WD-40 has grown by leaps and bounds, and is now virtually a household name, used in numerous consumer and industrial markets such as automotive, manufacturing, sporting goods, aviation, hardware and home improvement, construction, and farming. In 1983, WD-40 Company sales reached $50.2 million. Many companies attempted to introduce imitation products, going so far as to copy the distinctive blue, yellow and red colors of the WD-40 can. In 1993, WD-40 Company celebrated its 40th anniversary by breaking the $100 million sales mark. That year the company was also listed among the Top Ten Most Profitable companies on the NASDAQ exchange. Not bad for a company with only one product! WD-40 was found to be in 4 out of 5 American households (it seems everyone has a can or two) and was used by 81 percent of professionals at work. Sales had grown to more than one million cans each week. The most interesting piece of WD-40's history is the uses for the product, now numbering in the thousands. The uses include everything from silencing squeaky hinges and removing road tar from automobiles to protecting tools from rust and removing adhesive labels. But they get a lot crazier than that. Over the years, thousands of WD-40 users have written testimonial letters to the company sharing their often unique, if sometimes just plain weird, uses for the productmany of which are shared in other parts of this Web site. Some of the most interesting stories include the bus driver in Asia who used WD-40 to remove a python snake which had coiled itself around the undercarriage of his bus. Or when police officers used WD-40 to remove a naked burglar trapped in an air conditioning vent. Very few brands will ever match the popularity of WD-40. In fact, the variety and uniqueness of uses for WD-40 proved so popular that The WD-40 Book, (Bad Dog Press 1997) featuring many user testimonials and the wacky humor of the Duct Tape Guys, was published in 1997. But WD-40's literary legend doesn't end there. The familiar blue and yellow can has been featured in other books ranging from The Big Damn Book of Sheer Manliness (General Publishing 1997), Polish Your Furniture With Panty Hose (Hyperion 1995), WD-40 for the Soul: The Guide to Fixing Everything (TV Books 1999), and Talking Dirty With the Queen of Clean (Pocket Books, 1998) to college textbooks.
4977	31	37826	458324	443403	Slap_Shot_12	10/1/04 8:09 AM	1.09661814E12	2000 Uses for WD-40	There's been some great tips in this discussion about what can be done with WD-40 - but here's the definitive list of uses... http://www.twbc.org/wd40.htm Now go out and spray something!!!
4977	32	37826	458386	443686	knute	10/1/04 8:30 AM	1.0966194E12	Re: Trivia. . .	WD - Water Displacement 40 - 40th Formulation
4977	33	37826	458419	443711	strevino	10/1/04 8:40 AM	1.09662E12	Re: (NT) Re: Water displacement	this is a spray created for water displacement , the author tried 40 times to get to the right formula. it is used to take humidity out of many things like carburators of cars or relys etc..
4977	34	37826	458502	443403	TLuu	10/1/04 9:03 AM	1.09662138E12	Re: WD40??????????	That could be the model number of the 40 GB hard drive made by Western Digital company.
4977	35	37826	458654	443430	Nebuchadnezzer	10/1/04 10:13 AM	1.09662558E12	Re: It's a light oil/lubricant. Ususally in a spray can.	Sorry, you are wrong. WD-40 is a light oil in an aerosol (spray can) but it is not primarily meant for lubrication. It is a Water Displacing fluid ie. dries out electrics, hence the WD. The 40 stands for the number of efforts to get the formula correct. It does dry out and hence is really no good as a long term lubricant but is great for the electrics on your car, boat etc.
4977	36	37826	458768	458017	Racko	10/1/04 11:00 AM	1.0966284E12	Re: WD40??????????	Bill, Actually, it acted more as a non-volatile solvent. It dissolved and redistributed the ink and it didn't dissolve quickly. It didn't have any noticeable affect on the print heads.
4977	37	37826	458887	451717	Grady Powell	10/1/04 11:57 AM	1.09663182E12	Re: WD40?????????? Maybe,	You Dang Dipstick!!
4977	38	37826	458939	458887	billzhills	10/1/04 12:12 PM	1.09663272E12	(NT) (NT) Non necessary comment	NIL
4977	39	37826	458983	443403	NPswimdude500	10/1/04 12:25 PM	1.0966335E12	Re: WD40??????????	WD-40 is a lubricant commonly usede on door hinges, etc.
4977	40	37826	459498	443403	AjaxFC1	10/1/04 5:13 PM	1.09665078E12	Re: WD40??????????	Halvaro, WD40-Water Displacemant 40- is a a clear lubricant. You can use WD40 to loosen rusted nuts and bolts, removing permanent marker off the carpet, lubricate squeaky doors etc... There are 40 uses and counting for this remarkable product. And as the name implies, the main purpose is to displace water. Sjahman
4977	41	37826	459706	443403	Titanium_Skull	10/1/04 7:15 PM	1.0966581E12	Re: WD40??????????	It is one of 2 things or in a wild way both. 1. WD40 is a spray oil, penetrating oil. Used for rustproofing exposed metal, lubricating hinges, soaking frozen nuts and bolts that have gotten rusted so that you could loosen them. 2. WD could stand for Western Digital, 40 could stand for a 40 gig, so WD40 could most likely mean Western Digital 40 Gig hard drive. Hope this was of some help. Robert
4977	42	37826	459840	443403	Unknown	10/1/04 8:44 PM	1.09666344E12	Re: WD40??????????	WD 40 is another of those space age materials that every good man has in his tool box. Originally it was created for the electrical industry as its initials signify--W water--D dispersal 40. It was soon to be taken over as the do it all light lubricant. It however is short lived as a lubricant as it was made to evaporate. If I recall it is made of a solvent and kerosene and when sprayed on a surface would cause the wate to lift and float on the film and be wiped or washed away with the WD40
4977	43	37826	459850	450917	BABatson	10/1/04 9:02 PM	1.09666452E12	Re: Aww....come on now tell us	Here in Central Oregon, 'TRI-FLOW -- Superior Lubricant' is the favourite. It is made by Sherwin-Williams Company, Cleveland, Ohio 44115. WD-40 tends to wear-off, it seems to me, and I really like TRI-FLOW. However, it ought not to be applied to the body or inhaled overmuch; I do not know if WD-40, which has been popular at least 35 years, is more body-friendly, and I never heard of using it for arthritis -- it does contain liquid silicon lubricant.
4977	44	37826	459909	443403	thebay	10/1/04 10:22 PM	1.09666932E12	Re: WD40??????????	Here in Australia WD-40 has been available for many years. The product is available in aerosol container for ease of use. It's uses are many:- 1. waterproofing car electrics eg distributor leads 2. spraying onto rusted bolts and nuts to facilitate the breaking down of the rusted joint 3. using it as a lubricant on screw threads etc.. Regards Des
4977	45	37826	460034	459909	hobo	10/2/04 2:32 AM	1.09668432E12	Re: WD40??????????	wd-40 means wynn's diesel-40 means 40 weight oil both are mixed together to form wd-40
4977	46	37826	460046	459850	techuser	10/2/04 3:31 AM	1.09668786E12	Re: WD40 composition	You bunch of knuckleheads!! I read a little more than half of the replies. Nice history lessons and mode of action and applications, but nothing about the composition that answers the question &quot;what is WD40...&quot; Give this a read: Newsgroups: sci.chem Subject: Re: WD 40 Ingredients From: B.Hamilton@irl.cri.nz (Bruce Hamilton) Date: Fri, 13 Jun 1997 10:18:38 +12 Well, I'll be a little crass and add to my post. In article &lt;...&gt; B.Hamilton@irl.cri.nz (Bruce Hamilton) writes: &gt;The WD stands for Water Displacing. I haven't analysed it,( not commonly sold here ) but somebody (Professor Toraki? )squirted some down a GC/MS and confirmed the solvent was boiling around 150-200C and only contained a minor % of aromatics, which means it is either a narrow boiling range kerosine fraction, or a special narrow boiling range solvent like low aromatics white spirits. It is listed as Stoddard Solvent - which is actually a low aromatics White Spirit. It would have a boiling range between 150C - 200C and an aromatics content below 20%. According to various sources, the typical liquid product contains:- 70% low aromatic white spirits ( stoddard solvent ) ~20% lubricant base grade ( solvent de-waxed, paraffinic type ) 10% of corrosion inhibitor ( some formulations use 2 inhibitors, normally they would only be present at low concentrations, so it's possible that the inhibitor could be something crude like an oil that produces a hard film with synthetic additives ) 5% of wetting agent ( probably quite low concentration, other the formulation would emulsify some water which could affect theprotective film's durability and performance ) &lt;5% of fragrance. The aerosol versions adds 25% of LPG as propellant to the above( probably with less of the wetting agent to minimise foam ) My earlier suggestions aren't too different from the above. Bruce Hamilton =============================
4977	47	37826	460315	443403	berry71	10/2/04 7:02 AM	1.09670052E12	Re: WD40??????????	WD-40 WAS ORIGINALLY DESIGNED FOR WATER DISPLACMENT. IT CAN BE USED ON ANYTHING ELECTRICAL BECAUSE IT IS NOT A CONDUCTOR. WD-40 CAN BE USED ON LIVE CIRCUITS THAT ARE CORRODED OR DIRTY, WHILE ALSO PROTECTING FROM ANY FURTHER CORROSION. WD-40 IS ALSO USED FOR A GENERAL LUBRICATE THAT IS GOOD FOR LOOSENING RUSTY BOLTS, OILING DOOR HINGES OR ANYTHING ELSE YOU CAN THINK OFF. WD-40 IS ALSO CONBUSTIBLE. IT SHOULD NOT BE USED NEAR ANY OPEN FLAMES, SPARKS OR HOT ITEMS. IT IS ALSO GOOD FOR COOLING DRILL BITS WHILE DRILLING IF IT IS ALL THAT YOU HAVE.
4977	48	37826	460330	460315	billzhills	10/2/04 7:14 AM	1.09670124E12	(NT) (NT) Berry, lose the CAPS, Thanks	NIL
4977	49	37826	461418	457608	SherA	10/2/04 6:31 PM	1.09674186E12	Re: It's a light oil/lubricant. Ususally in a spray can.	RonnieR said, &quot;And its good for relieving the pain of arthritis.&quot; Is this true?? If so, how is it used?
4977	50	37826	461575	443403	jonjon1946	10/2/04 8:35 PM	1.0967493E12	Re: WD40??????????	Hi Halvaro. Remember to wear eye protection. WD-40 is a solvent and is used as a lubricant in some applications. It can be sprayed into a lock cylinder to get it working again; used on rusty hinges to reduce or eliminate squeak; used on rusty bolts/hardware to help loosen them; sprayed on the surface of metal that you may need to drill through-it keeps the drill bit cool and lubricated and helps to maintain a sharp point, etc. There are many other uses. It can be purchased at just about any hardware store or home center such as Lowe's or Home Depot. I've even used to keep honing stones lubricated in automotive work for brakes and engine blocks. Please be sure to follow the manufacturers recomendations for safe use of the product. It is petroleum based and toxic and may even contain some graphite. Good luck.
4977	51	37826	461645	443403	billv	10/2/04 9:55 PM	1.0967541E12	Re: WD40??????????	I think your original question has been answered 50 times over, but no one has mentioned my favorite use for WD40: removing those nasty price stickers and product labels from things I buy. Just spray the sticker with WD40, let it sit a few minutes, and voila! The sticker comes right off. If you don't want the WD40 residue on the product, just wipe it off with a paper towel and a little alcohol.
4977	52	37826	461676	458887	Stan Chambers	10/2/04 10:44 PM	1.09675704E12	Re: WD40?????????? Maybe,	My sincere apology, I thought this was a computer forum.
4977	53	37826	461680	443403	Stan Chambers	10/2/04 10:51 PM	1.09675746E12	(NT) (NT) Re: Amazing, the # of 1st time posts.	NIL
4977	54	37826	461880	461680	cujo_vii	10/3/04 6:11 AM	1.09678386E12	Re: (NT) Re: Amazing, the # of 1st time posts.	Well the subject is WD-40. I guess they needed something to loosen up their thoughts.
4977	55	37826	462495	443403	rjohn272	10/3/04 3:44 PM	1.09681824E12	Re: WD40??????????	WD-40 is a chemical used to displace water (Water Displacement) on parts exposed to excess moisture and condesation. The &quot;40&quot; means it works down to -40 degrees Farenheit. Some folks use it as a lubricant but it's not intended for that purpose.
4977	56	37826	462670	461418	Unknown	10/3/04 5:46 PM	1.09682556E12	Re: It's a light oil/lubricant. Ususally in a spray can.	There is a factory near me which cans the product and many people whom work there use it for just that purpose. They spray it on the joints of thier fingures and rub it in. They claim it helps.
4977	57	37826	463139	461680	John Robie	10/4/04 2:26 AM	1.09685676E12	Re: (NT) Re: Amazing, the # of 1st time posts.	Well it's good I think, kinda shows there are people who read this form. Now for a record of 1st time post around these community forums look at the 360+ replys on if the computer should be turned on/off: http://reviews.cnet.com/5208-7586-0.html?forumID=68&threadID=19769&messageID=211343
4977	58	37826	463158	457608	todder	10/4/04 3:02 AM	1.09685892E12	Re: It's a light oil/lubricant. Ususally in a spray can.	Never used it for that, but have used WD40 to cure countless electrical and mechanical problems.It even cured a TV set that had been rained on.
4977	59	37826	463268	461676	billzhills	10/4/04 5:06 AM	1.09686636E12	(NT) (NT) Not you Ernie,	NIL
4977	60	37826	469366	443403	loren	10/7/04 4:06 PM	1.09716516E12	Re: WD40??????????	Funny, I was just looking at one today, if your talking about computer hardware WD40 is what you would find on a Western Digital 40 Gigabyte hard drive. I hope this answers your question.
4977	61	37826	476591	443715	Ambar	10/12/04 3:10 AM	1.0975506E12	Hundreds of Uses	When WD-40 did become popular, many people found other uses for it. In fact, an old advertisement for it listed over a hundred situations where it has been used in. Being a brass musician, I find it useful to get the tuning slide moving again.
4977	62	37826	485679	443686	JINKS	10/17/04 6:51 PM	1.09803906E12	Re: WD 40 BECAREFULL	We used this product at work for loseing up seized nuts and bolts, being a member of the Joint Health and Safety Committee we stoped the practice because we were informed that the product contained cancer causing agents!!!.This is not a scare tactic just a word of warning. Jinks
4977	63	37826	552456	461575	jamilalarsen	11/19/04 7:16 AM	1.10084856E12	Re: WD40??????????	guess what every one my grampa invented WD-40 his name is norman larsen and i never got a chance to meet him. he was a heavy drinker and died befor i was born. i like looking things up on him tho. so i googled it and found this site i really like it. i like seeing people interested in it but a sad thing is my grampa never knew how famous wd-40 could get and thought it would be a failure so the sold his invention like dirt cheep and now that person is like a billion air lol but there is nothing we can do about that
4977	64	37826	566099	443403	piet	11/25/04 11:39 PM	1.10142594E12	Re: WD40??????????	I'm from Australia (the land down under) and WD-40 to us is a pressurised silicone based anti corrosive spray Turu, Peter
4977	65	37826	566103	443403	Researcher	11/25/04 11:42 PM	1.10142612E12	Re: WD40??????????	WD 40 is a lubricating oil mixture. Sold in a spray can and used as an anti-rust deterrent. Part Oil and part parafin mix
4977	66	37826	566108	443403	SSGE6CWS	11/25/04 11:44 PM	1.10142624E12	Re: WD40??????????	As related to computer use, with a dot matrix printer, this is a useful item. Dot matrix is old tech, but for draft papers, when you need to use NCR forms or just when a cheap print out is required, they are still great. For single non-business letters, my 24 pin printer is still my main unit. Anyway, a dot matrix printer uses an ink ribbon; a print head physically strikes the paper though an inked ribbon in a dot pattern. The dots are close enough to each other and often overlap, so that our human brain sees the dots as readable characters. The area of impact is only in the middle, so the print gets lighter as you use it. You can open the printer ribbon and give a VERY LIGHT spray of WD-40. This will desolve some of the ink from the top, unused part of the ribbon, and make it print fine for a while longer.
4977	67	37826	566134	443403	moondoggy	11/25/04 11:50 PM	1.1014266E12	Re: WD40??????????	WD-40 literally stands for Water Displacement, 40th attempt. That's the name straight out of the lab book used by the chemist who developed WD-40 back in 1953. The chemist, Norm Larsen, was attempting to concoct a formula to prevent corrosion -- a task which is done by displacing water. Norm's persistence paid off when he perfected the formula on his 40th try.
4977	68	37826	566196	443403	Carol Angelesco	11/26/04 12:29 AM	1.10142894E12	Re: WD40??????????	WD-40 literally stands for Water Displacement, 40th attempt. That's the name straight out of the lab book used by the chemist who developed WD-40 back in 1953. The chemist, Norm Larsen, was attempting to concoct a formula to prevent corrosiona task which is done by displacing water. Norm's persistence paid off when he perfected the formula on his 40th try. You can find everything you need to know about WD 40 at this site... http://www.wd40.com/Brands/wd40_faqs.html Hope this helps... Robert
4977	69	37826	566259	443403	Nebuchadnezzer	11/26/04 12:59 AM	1.10143074E12	Re: WD40??????????	WD40 is a fluid that is used to dry out and isolate electrical circuits. &quot;WD&quot; stands for &quot;water displacing&quot; and the &quot;40&quot; is the number of times the experiment to produce it was carried out before the product finally worked. Some people mistakenly think it is used as a lubricant. It is quite good for that in the short term - it will free seized nuts and bolts etc. The trouble is it tends to dry out. So using it, say on a lock or window runner will result in the problem reappearing after a while. Tis good stuff for vehicle electrics. It is available in aerosol and drip/oil can formats.
4977	70	37826	566272	460046	Scargill	11/26/04 1:08 AM	1.10143128E12	Re: WD40 composition	Here in UK I use WD40 at work, & we need to recieve a product Data sheet with an order. It stated it was composed of Oil & White spirit. There is certainly more, as you state, Bruce, as you can smell the perfume, and the wetting agent is probably soap. (these would not need to be stated.) You could make, very simply, a good substitute at home, out of things in the workshop. When I worked as a Radio & T/V repair man, we used to make it in this fashion if we ran out of switch cleaner. (Remember this?)In fact to reduce the risk of corrosion a lot if items, (Soft greases oils etc) were mixed with parrafin substances, as when they were painted on the surface, the solvent dried out, leaving the greasy coating to exclude the air, so preserving it. That said, Its very handy in aerosol form. I bought a second hand gas cooker of a lady that had altered the kitchen so it didnt fit. She picked up a can to spray & clean the grease of it before I took it! Handy stuff Mike Scargill (UK)
